Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2635,9,212.25,212.25,212.25,211,211,-1.25,-0.59
ABANS FINANCE PLC,AFSL.N0000,21,1,20.8,21.8,21.8,21.8,21.8,1,4.81
ACCESS ENGINEERING PLC,AEL.N0000,431782,71,23.2,23.3,23.5,23,23.2,0,0
ACL CABLES PLC,ACL.N0000,18951,19,83.5,83.5,83.9,83.1,83.1,-0.4,-0.48
ACL PLASTICS PLC,APLA.N0000,36,3,420,425,425,420,420,0,0
ACME PRINTING & PACKAGING PLC,ACME.N0000,1512,6,5.5,5.8,5.8,5.5,5.5,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,9560,5,33,34.3,34.3,33,34,1,3.03
Agarapatana Plantations PLC,AGPL.N0000,7601,16,7.6,7.5,7.5,7.3,7.5,-0.1,-1.32
AGSTAR PLC,AGST.N0000,111550,68,7.5,7.5,7.5,7.3,7.5,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,1457,20,65,64,64.9,63.5,64.9,-0.1,-0.15
AITKEN SPENCE PLC,SPEN.N0000,1006,5,126.75,126.75,127,126.75,127,0.25,0.2
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,386,7,100,100,101,99.8,101,1,1
ALPHA FIRE SERVICES PLC,AFS.N0000,104,2,6.9,6.9,6.9,6.9,6.9,0,0
ALUMEX PLC,ALUM.N0000,1960,7,10.7,10.7,10.9,10.7,10.8,0.1,0.93
AMBEON CAPITAL PLC,TAP.N0000,8201,17,12.8,13,13,12.9,12.9,0.1,0.78
ASIA ASSET FINANCE PLC,AAF.N0000,150,3,13.1,13.1,13.4,13.1,13.4,0.3,2.29
ASIA CAPITAL PLC,ACAP.N0000,5195,6,3.5,3.5,3.8,3.5,3.7,0.2,5.71
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,220,5,4.3,4.3,4.3,4.3,4.3,0,0
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,34,1,60,60,60,60,60,0,0
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,1049,5,23.8,23.7,24.9,23.7,24.9,1.1,4.62
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,1312,2,12,12,12,12,12,0,0
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,20,1,22,22,22,22,22,0,0
B P P L HOLDINGS PLC,BPPL.N0000,100983,15,19,19,19.1,18.1,18.1,-0.9,-4.74
BALANGODA PLANTATIONS PLC,BALA.N0000,1594,9,45,46.1,47.7,45.8,45.8,0.8,1.78
BERUWALA RESORTS PLC,BERU.N0000,384902,13,2.8,2.8,2.8,2.7,2.7,-0.1,-3.57
